Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes
Door Maintenance Co,door maintenance co,https://www.doormaintenance.co.uk/,doormaintenance.co.uk,United Kingdom,Company number 01783555 shown on official site; registry match not independently resolved in this run,"Industrial, fire and automatic door maintenance",info@doormaintenance.co.uk,Relevant team,General business inbox,029 2066 5539,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/door-maintenance-co,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/door-maintenance-co/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,91,Strong
One Group Services,one group services,https://www.onegroupuk.co.uk/,onegroupuk.co.uk,United Kingdom,Active private limited company 07139495,Specialist commercial and industrial cleaning,info@onegroupuk.co.uk,Relevant team,General business inbox,0800 999 1101,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/one-group-services,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/one-group-services/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,89,Strong
MC Refrigeration,mc refrigeration,https://www.mcrefrigeration.co.uk/,mcrefrigeration.co.uk,United Kingdom,Active private limited company 05438257,Commercial refrigeration installation and maintenance,info@mcrefrigeration.co.uk,Relevant team,General business inbox,01933 277672,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/mc-refrigeration,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/mc-refrigeration/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,92,Strong
Aqua Ease,aqua ease,https://aquaease.co.uk/,aquaease.co.uk,United Kingdom,Active private limited company 12665369,"Legionella compliance, water hygiene and treatment",info@aquaease.co.uk,Relevant team,General business inbox,0191 447 3310,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/aqua-ease,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/aqua-ease/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,93,Strong
Thomas Fire Consultancy,thomas fire consultancy,https://thomasfire.co.uk/,thomasfire.co.uk,United Kingdom,Company number 11399680 shown on official site,"Fire safety consultancy, inspections and maintenance",info@thomasfire.co.uk,Relevant team,General business inbox,01327 828314,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/thomas-fire-consultancy,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/thomas-fire-consultancy/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,90,Strong
Stageworks Events,stageworks events,https://stageworkslightingandsound.co.uk/,stageworksevents.co.uk,United Kingdom,Active private limited company 16705667; incorporated September 2025,"Sound, lighting, staging and event production",info@stageworksevents.co.uk,Relevant team,General business inbox,07882 423370,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/stageworks-events,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/stageworks-events/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,84,Moderate
Intielectric Ltd,intielectric ltd,https://www.intielectricltd.com/,intielectricltd.com,United Kingdom,Ltd as represented on official website; independent registry match not resolved in this run,Commercial and industrial electrical contracting,info@intielectricltd.com,Relevant team,General business inbox,07389 171 964,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/intielectric,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/intielectric/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,87,Moderate
Cura Surveys,cura surveys,https://curasurveys.co.uk/,curasurveys.co.uk,United Kingdom,Active private limited company 11166352,"Drainage, utility, measured-building and topographical surveys",info@curasurveys.co.uk,Relevant team,General business inbox,020 3488 5858,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/cura-surveys,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/cura-surveys/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,94,Strong
UK Solar Services Ltd,uk solar services ltd,https://www.uksolarservicesltd.co.uk/,uksolarservicesltd.co.uk,United Kingdom,Active private limited company 11318696,"Solar PV, battery, heat-pump and renewable-energy services",info@uksolarservicesltd.co.uk,Relevant team,General business inbox,01782 444209,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/uk-solar-services,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/uk-solar-services/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,92,Strong
Harlequin Pest Control,harlequin pest control,https://harlequin-pest.co.uk/,harlequin-pest.co.uk,United Kingdom,Trading entity shown on official website; independent registry match not resolved in this run,Commercial and multi-site pest management,info@harlequin-pest.co.uk,Relevant team,General business inbox,07947 486831,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Completed locally; public deployment pending workflow verification,prospects/harlequin-pest-control,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/harlequin-pest-control/,Pending — create only after signed-out link QA,Prepared standalone Re: copy; genuine thread only after original is sent,Draft preparation; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,,86,Moderate
